SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Tamil Nadu,1901,24.5,39.1,21.7,36.0,74.0,41.8,49.3,67.9,191.1,122.3,212.3,80.4,960.3,63.6,131.6,350.1,415.0
Tamil Nadu,2004,2.8,0.7,3.0,16.2,101.1,21.2,98.6,85.1,208.3,271.1,204.5,25.0,1037.6,3.5,120.3,413.2,500.6
Tamil Nadu,2005,4.1,11.1,24.4,128.0,80.6,35.7,87.9,93.3,117.9,280.5,353.4,148.5,1365.3,15.2,233.0,334.8,782.3
Tamil Nadu,2015,8.3,2.3,21.7,108.8,112.4,62.4,43.5,81.6,98.4,132.6,379.8,152.8,1204.6,10.6,242.8,285.9,665.3
Tamil Nadu,2016,2.5,0.8,3.1,6.3,102.5,63.0,86.8,55.1,49.0,65.8,33.8,66.5,535.0,3.3,111.9,253.9,166.0
Tamil Nadu,2017,37.3,1.1,35.4,17.3,73.5,47.9,42.0,159.4,165.3,155.5,141.5,96.8,973.0,38.4,126.1,414.6,393.9
Coastal Andhra Pradesh,2017,1.0,0.0,12.4,8.8,30.8,149.6,153.2,224.2,141.8,123.0,46.7,1.2,892.7,1.0,52.0,668.8,170.9
Telangana,2017,0.0,0.0,8.7,3.2,22.4,202.2,143.2,204.2,115.3,114.6,1.9,0.0,815.7,0.0,34.3,664.9,116.4
Rayalseema,2017,3.9,0.0,12.8,8.8,39.9,88.9,52.2,171.6,194.6,221.1,33.3,7.4,834.5,3.9,61.5,507.2,261.8
Kerala,2017,12.7,0.3,87.8,52.8,213.3,579.8,378.5,462.6,435.5,228.0,152.1,61.4,2664.9,13.0,353.9,1856.5,441.5
Coastal Karnataka,2017,1.1,0.0,2.5,9.5,129.0,831.4,820.1,625.2,316.5,185.7,19.4,7.2,2947.6,1.1,141.0,2593.2,212.3
South Interior Karnataka,2017,5.0,0.0,16.8,34.1,140.9,107.6,125.9,181.4,250.3,178.3,13.8,7.7,1061.7,5.0,191.8,665.2,199.8
Konkan & Goa,2017,0.0,0.0,0.0,0.0,47.0,840.4,1095.3,731.2,546.9,156.9,0.7,25.0,3443.4,0.0,47.0,3213.8,182.6
