S.No,District,Actual Rainfall occurred in October'17 during North-East Monsoon (in mm),Normal Rainfall occurred in October'17 during North-East Monsoon (in mm),Percentage Deviation from Actual to Normal during North-East Monsoon in October'17,Actual Rainfall occurred in November'17 during North-East Monsoon (in mm),Normal Rainfall occurred in November'17 during North-East Monsoon (in mm),Percentage Deviation from Actual to Normal during North-East Monsoon in November'17,Actual Rainfall occurred in December'17 during North-East Monsoon (in mm),Normal Rainfall occurred in December'17 during North-East Monsoon (in mm),Percentage Deviation from Actual to Normal during North-East Monsoon in December'17,Total Actual Rainfall occurred during North-East Monsoon (in mm),Total Normal Rainfall occurred during North-East Monsoon (in mm),Percentage Deviation from Total Actual to Total Normal Rainfall during North-East Monsoon
1,Chennai,269.8,266.5,1.24,583.8,367.8,58.73,84.2,155.6,-45.89,937.8,789.9,18.72
2,Kancheepuram,287.6,225.8,27.37,335.7,283,18.62,49.3,133,-62.93,672.6,641.8,4.80
3,Tiruvallur,279.9,211,32.65,335.5,261.3,28.40,62.4,117,-46.67,677.8,589.3,15.02
4,Cuddalore,202.9,220.2,-7.86,391.4,295.3,32.54,181.6,182.3,-0.38,775.9,697.8,11.19
5,Villupuram,226.5,186.5,21.45,174.8,195.1,-10.40,134.4,117.5,14.38,535.7,499.1,7.33
6,Vellore,216.6,163.2,32.72,58.9,127.2,-53.69,63.3,58.3,8.58,338.8,348.7,-2.84
7,Tiruvannamalai,276.5,194.2,42.38,80.4,170.2,-52.76,168,82.1,104.63,524.9,446.5,17.56
8,Salem,212.1,190.9,11.11,64,123.8,-48.30,65.8,55.8,17.92,341.9,370.5,-7.72
9,Namakkal,149.8,156.8,-4.46,43.6,98.8,-55.87,63.1,36,75.28,256.5,291.6,-12.04
10,Dharmapuri,159.4,180.5,-11.69,49.4,103.3,-52.18,45.8,46.3,-1.08,254.6,330.1,-22.87
11,Krishnagiri,219,176.9,23.80,54.5,77.9,-30.04,56.2,34.6,62.43,329.7,289.4,13.93
12,Tiruppur,123.2,147.7,-16.59,75.2,120,-37.33,57.2,46.6,22.75,255.6,314.3,-18.68
13,Coimbatore,105.9,151.9,-30.28,44.5,129.6,-65.66,32.2,47.4,-32.07,182.6,328.9,-44.48
14,Erode,101.6,158.9,-36.06,34.4,110.5,-68.87,60.4,45.2,33.63,196.4,314.6,-37.57
15,Tiruchirappalli,92.8,173.2,-46.42,68.1,139.9,-51.32,62.8,78.4,-19.90,223.7,391.5,-42.86
16,Karur,87.2,144.6,-39.70,54,119.1,-54.66,93.1,51,82.55,234.3,314.7,-25.55
17,Perambalur,121.1,191,-36.60,101.9,155,-34.26,83.8,94.9,-11.70,306.8,440.9,-30.42
18,Pudukkottai,89.3,158,-43.48,88.6,147.1,-39.77,29.6,101.1,-70.72,207.5,406.2,-48.92
19,Thanjavur,108.6,183.8,-40.91,221.1,219.2,0.87,104,147.3,-29.40,433.7,550.3,-21.19
20,Tiruvarur,128.6,200.3,-35.80,363.9,304,19.70,209.3,214.8,-2.56,701.8,719.1,-2.41
21,Nagapattinam,239,241.2,-0.91,704.9,411.7,71.22,188.4,288.1,-34.61,1132.3,941,20.33
22,Madurai,167.3,206.2,-18.87,50.3,151.3,-66.75,68.9,61.6,11.85,286.5,419.1,-31.64
23,Theni,139,167.7,-17.11,57.5,139,-58.63,84.1,51.2,64.26,280.6,357.9,-21.60
24,Dindigul,175,188.1,-6.96,87.6,159,-44.91,62.5,89.3,-30.01,325.1,436.4,-25.50
25,Ramanathapuram,64.2,182.4,-64.80,146.9,187.2,-21.53,48,122.1,-60.69,259.1,491.7,-47.31
26,Virudhunagar,125.7,180.7,-30.44,67.6,172.7,-60.86,139,65.6,111.89,332.3,419,-20.69
27,Sivaganga,118.3,187.1,-36.77,82.9,148.5,-44.18,58.1,87.1,-33.30,259.3,422.7,-38.66
28,Tirunelveli,83.6,157.5,-46.92,344,210.1,63.73,237.9,99.6,138.86,665.5,467.2,42.44
29,Thoothukudi,45.8,151.3,-69.73,153,185.4,-17.48,154.8,90.3,71.43,353.6,427,-17.19
30,The Nilgiris,118.1,217.9,-45.80,103.7,181.2,-42.77,128.5,79.1,62.45,350.3,478.2,-26.75
31,Ariyalur,140.7,193.4,-27.25,206.2,205.2,0.49,144.8,146.9,-1.43,491.7,545.5,-9.86
32,Kanniyakumari,155.6,226.3,-31.24,201.5,208.6,-3.40,254.1,61.5,313.17,611.2,496.4,23.13
Total,State Average,157.21,186.93,-15.90,169.68,184.63,-8.09,102.36,96.49,6.09,429.25,468.04,-8.29
