incident_id,incident_type,description,latitude,longitude,timestamp,severity,source,status,ward_id,data_source_type
INC-SYN-1001,waterlogging,Synthetic incident simulated at rainfall 27.44mm/hr [DEMO DATA],19.02414,72.84631,2026-08-12T17:22:35.250415+00:00,medium,synthetic_citizen_report,investigating,1,SYNTHETIC_DEMO_DATA
INC-SYN-1002,waterlogging,Synthetic incident simulated at rainfall 25.45mm/hr [DEMO DATA],19.0165,72.83622,2026-08-13T01:22:35.250415+00:00,medium,synthetic_citizen_report,investigating,1,SYNTHETIC_DEMO_DATA
INC-SYN-1003,waterlogging,Synthetic incident simulated at rainfall 93.28mm/hr [DEMO DATA],19.02522,72.84426,2026-08-13T05:22:35.250415+00:00,critical,synthetic_citizen_report,investigating,1,SYNTHETIC_DEMO_DATA
INC-SYN-1004,waterlogging,Synthetic incident simulated at rainfall 104.3mm/hr [DEMO DATA],19.02045,72.83988,2026-08-13T06:22:35.250415+00:00,critical,synthetic_citizen_report,reported,1,SYNTHETIC_DEMO_DATA
INC-SYN-1005,waterlogging,Synthetic incident simulated at rainfall 73.94mm/hr [DEMO DATA],19.01063,72.83216,2026-08-13T07:22:35.250415+00:00,critical,synthetic_citizen_report,investigating,1,SYNTHETIC_DEMO_DATA
INC-SYN-1006,waterlogging,Synthetic incident simulated at rainfall 56.03mm/hr [DEMO DATA],19.02815,72.84017,2026-08-13T08:22:35.250415+00:00,high,synthetic_citizen_report,reported,1,SYNTHETIC_DEMO_DATA
INC-SYN-1007,waterlogging,Synthetic incident simulated at rainfall 83.05mm/hr [DEMO DATA],19.01458,72.84511,2026-08-13T09:22:35.250415+00:00,critical,synthetic_citizen_report,reported,1,SYNTHETIC_DEMO_DATA
INC-SYN-1008,waterlogging,Synthetic incident simulated at rainfall 109.13mm/hr [DEMO DATA],19.02859,72.83322,2026-08-13T10:22:35.250415+00:00,critical,synthetic_citizen_report,investigating,1,SYNTHETIC_DEMO_DATA
INC-SYN-1009,waterlogging,Synthetic incident simulated at rainfall 108.04mm/hr [DEMO DATA],19.02607,72.84743,2026-08-13T11:22:35.250415+00:00,critical,synthetic_citizen_report,reported,1,SYNTHETIC_DEMO_DATA
INC-SYN-1010,blocked_drain,Synthetic incident simulated at rainfall 15.42mm/hr [DEMO DATA],19.01835,72.84021,2026-08-13T22:22:35.250415+00:00,medium,synthetic_citizen_report,reported,1,SYNTHETIC_DEMO_DATA
INC-SYN-1011,waterlogging,Synthetic incident simulated at rainfall 33.77mm/hr [DEMO DATA],19.07597,72.88003,2026-08-12T21:22:35.250415+00:00,medium,synthetic_citizen_report,investigating,2,SYNTHETIC_DEMO_DATA
INC-SYN-1012,blocked_drain,Synthetic incident simulated at rainfall 23.16mm/hr [DEMO DATA],19.06072,72.88157,2026-08-13T03:22:35.250415+00:00,medium,synthetic_citizen_report,reported,2,SYNTHETIC_DEMO_DATA
INC-SYN-1013,waterlogging,Synthetic incident simulated at rainfall 109.2mm/hr [DEMO DATA],19.06061,72.88182,2026-08-13T05:22:35.250415+00:00,critical,synthetic_citizen_report,reported,2,SYNTHETIC_DEMO_DATA
INC-SYN-1014,waterlogging,Synthetic incident simulated at rainfall 92.65mm/hr [DEMO DATA],19.06254,72.8772,2026-08-13T06:22:35.250415+00:00,critical,synthetic_citizen_report,investigating,2,SYNTHETIC_DEMO_DATA
INC-SYN-1015,waterlogging,Synthetic incident simulated at rainfall 55.63mm/hr [DEMO DATA],19.07246,72.87432,2026-08-13T07:22:35.250415+00:00,high,synthetic_citizen_report,reported,2,SYNTHETIC_DEMO_DATA
INC-SYN-1016,waterlogging,Synthetic incident simulated at rainfall 73.01mm/hr [DEMO DATA],19.07081,72.88063,2026-08-13T08:22:35.250415+00:00,critical,synthetic_citizen_report,investigating,2,SYNTHETIC_DEMO_DATA
INC-SYN-1017,waterlogging,Synthetic incident simulated at rainfall 62.53mm/hr [DEMO DATA],19.07033,72.88952,2026-08-13T09:22:35.250415+00:00,critical,synthetic_citizen_report,reported,2,SYNTHETIC_DEMO_DATA
INC-SYN-1018,waterlogging,Synthetic incident simulated at rainfall 86.54mm/hr [DEMO DATA],19.06878,72.87542,2026-08-13T10:22:35.250415+00:00,critical,synthetic_citizen_report,reported,2,SYNTHETIC_DEMO_DATA
INC-SYN-1019,waterlogging,Synthetic incident simulated at rainfall 101.43mm/hr [DEMO DATA],19.07672,72.88925,2026-08-13T11:22:35.250415+00:00,critical,synthetic_citizen_report,investigating,2,SYNTHETIC_DEMO_DATA
INC-SYN-1020,waterlogging,Synthetic incident simulated at rainfall 30.2mm/hr [DEMO DATA],19.065,72.87313,2026-08-13T13:22:35.250415+00:00,medium,synthetic_citizen_report,investigating,2,SYNTHETIC_DEMO_DATA
INC-SYN-1021,blocked_drain,Synthetic incident simulated at rainfall 22.15mm/hr [DEMO DATA],19.07476,72.8891,2026-08-13T16:22:35.250415+00:00,medium,synthetic_citizen_report,investigating,2,SYNTHETIC_DEMO_DATA
INC-SYN-1022,waterlogging,Synthetic incident simulated at rainfall 34.07mm/hr [DEMO DATA],19.03423,72.85644,2026-08-12T18:22:35.250415+00:00,medium,synthetic_citizen_report,reported,4,SYNTHETIC_DEMO_DATA
INC-SYN-1023,waterlogging,Synthetic incident simulated at rainfall 34.34mm/hr [DEMO DATA],19.04187,72.86781,2026-08-12T19:22:35.250415+00:00,medium,synthetic_citizen_report,investigating,4,SYNTHETIC_DEMO_DATA
INC-SYN-1024,waterlogging,Synthetic incident simulated at rainfall 34.6mm/hr [DEMO DATA],19.04074,72.85174,2026-08-12T21:22:35.250415+00:00,medium,synthetic_citizen_report,investigating,4,SYNTHETIC_DEMO_DATA
INC-SYN-1025,blocked_drain,Synthetic incident simulated at rainfall 16.05mm/hr [DEMO DATA],19.03726,72.85568,2026-08-13T00:22:35.250415+00:00,medium,synthetic_citizen_report,investigating,4,SYNTHETIC_DEMO_DATA
INC-SYN-1026,waterlogging,Synthetic incident simulated at rainfall 103.55mm/hr [DEMO DATA],19.03306,72.85204,2026-08-13T05:22:35.250415+00:00,critical,synthetic_citizen_report,reported,4,SYNTHETIC_DEMO_DATA
INC-SYN-1027,waterlogging,Synthetic incident simulated at rainfall 100.54mm/hr [DEMO DATA],19.0357,72.85373,2026-08-13T06:22:35.250415+00:00,critical,synthetic_citizen_report,reported,4,SYNTHETIC_DEMO_DATA
INC-SYN-1028,waterlogging,Synthetic incident simulated at rainfall 108.04mm/hr [DEMO DATA],19.04049,72.8516,2026-08-13T07:22:35.250415+00:00,critical,synthetic_citizen_report,reported,4,SYNTHETIC_DEMO_DATA
INC-SYN-1029,waterlogging,Synthetic incident simulated at rainfall 88.15mm/hr [DEMO DATA],19.03796,72.85224,2026-08-13T08:22:35.250415+00:00,critical,synthetic_citizen_report,investigating,4,SYNTHETIC_DEMO_DATA
INC-SYN-1030,waterlogging,Synthetic incident simulated at rainfall 65.55mm/hr [DEMO DATA],19.03516,72.86634,2026-08-13T09:22:35.250415+00:00,critical,synthetic_citizen_report,reported,4,SYNTHETIC_DEMO_DATA
INC-SYN-1031,waterlogging,Synthetic incident simulated at rainfall 65.02mm/hr [DEMO DATA],19.04114,72.86859,2026-08-13T10:22:35.250415+00:00,critical,synthetic_citizen_report,investigating,4,SYNTHETIC_DEMO_DATA
INC-SYN-1032,waterlogging,Synthetic incident simulated at rainfall 101.48mm/hr [DEMO DATA],19.03374,72.86539,2026-08-13T11:22:35.250415+00:00,critical,synthetic_citizen_report,reported,4,SYNTHETIC_DEMO_DATA
INC-SYN-1033,waterlogging,Synthetic incident simulated at rainfall 31.77mm/hr [DEMO DATA],19.03485,72.86015,2026-08-13T12:22:35.250415+00:00,medium,synthetic_citizen_report,reported,4,SYNTHETIC_DEMO_DATA
INC-SYN-1034,blocked_drain,Synthetic incident simulated at rainfall 22.98mm/hr [DEMO DATA],19.03309,72.86162,2026-08-13T14:22:35.250415+00:00,medium,synthetic_citizen_report,reported,4,SYNTHETIC_DEMO_DATA
INC-SYN-1035,waterlogging,Synthetic incident simulated at rainfall 27.9mm/hr [DEMO DATA],19.03269,72.85673,2026-08-13T16:22:35.250415+00:00,medium,synthetic_citizen_report,reported,4,SYNTHETIC_DEMO_DATA
